time,mag_x,mag_y,mag_z
-0.700121,-7.02495098,18.6054897,-29.4305019
-0.690121,-7.28384876,18.6053371,-29.4302616
-0.679921,-7.28642035,19.2822094,-29.4307404
-0.669921,-6.8960762,18.6056404,-29.7690239
-0.65973,-7.28384876,18.9436169,-29.7685394
-0.64973,-7.15630579,18.943924,-29.4307404
-0.639531,-7.15630579,19.2822094,-29.7690239
-0.629531,-7.02495098,18.9437714,-29.4305019
-0.619334,-6.76715612,18.9440804,-29.769268
-0.609334,-6.8960762,19.2822094,-29.7690239
-0.599134,-6.76715612,18.2675056,-29.769268
-0.589134,-6.89729404,18.9440804,-30.1075554
-0.578941,-7.15504265,18.2672081,-30.1070652
-0.568941,-7.28384876,19.2818947,-30.1068192
-0.558744,-6.89729404,18.605793,-29.769268
-0.548744,-7.28642035,17.9290714,-30.1073093
-0.538544,-7.15504265,18.6054897,-30.4453468
-0.528544,-6.8960762,18.2673569,-29.4307404
-0.518351,-7.15630579,18.943924,-30.1073093
-0.508351,-6.90094852,18.9445419,-28.7551098
-0.498151,-7.02743149,18.9440804,-30.4458427
-0.488151,-6.76715612,19.9589424,-30.1075554
-0.477954,-7.28513432,17.9289265,-29.7687836
-0.467954,-6.8960762,18.2673569,-29.7690239
-0.457761,-7.15756893,19.2823677,-29.769268
-0.447761,-7.15630579,17.5907879,-29.7690239
-0.437555,-7.02619123,17.9290714,-30.4455929
-0.427555,-7.67540932,18.2672081,-30.7836285
-0.417365,-7.15504265,17.9289265,-30.1070652
-0.407365,-7.15630579,19.2822094,-29.7690239
-0.397165,-7.02619123,19.6204929,-30.4455929
-0.387165,-7.41391754,18.6053371,-29.4302616
-0.376971,-6.89729404,18.9440804,-29.4309807
-0.366971,-7.28642035,19.6204929,-30.4455929
-0.356765,-7.28642035,18.2673569,-30.4455929
-0.346765,-7.28642035,18.2673569,-29.7690239
-0.336581,-7.15756893,19.6206551,-30.7841301
-0.326581,-6.76596165,18.6056404,-31.1221619
-0.316384,-7.15504265,18.2672081,-29.7687836
-0.306384,-6.89851189,17.9293633,-29.7695084
-0.296185,-7.4165349,18.943924,-29.0924568
-0.286185,-7.28770685,18.2675056,-29.4309807
-0.275991,-7.28770685,19.2823677,-30.4458427
-0.265991,-7.02495098,17.9289265,-29.4305019
-0.255788,-7.15630579,18.2673569,-30.1073093
-0.245788,-6.8960762,19.2822094,-29.4307404
-0.235595,-6.89729404,18.2675056,-30.4458427
-0.225595,-7.15630579,18.943924,-30.1073093
-0.215395,-6.89729404,19.2823677,-30.1075554
-0.205395,-6.63701868,19.2823677,-30.1075554
-0.195195,-7.15504265,19.282053,-29.7687836
-0.185005,-7.4178443,18.605793,-29.4309807
-0.175005,-6.8960762,19.2822094,-29.0924568
-0.164805,-7.15504265,19.282053,-29.4305019
-0.154805,-7.28513432,18.2672081,-29.7687836
-0.144614,-7.28513432,19.6203346,-30.1070652
-0.134614,-7.02743149,19.9589424,-30.1075554
-0.124415,-6.37561798,18.943924,-30.7838783
-0.114415,-6.50573254,18.2673569,-32.1370163
-0.104215,-6.11646795,18.2675056,-33.1521416
-0.094215,-5.59394264,17.2523632,-34.5047264
-0.084024,-6.63467598,16.9140816,-34.5047264
-0.074024,-7.29285622,12.1787329,-34.1681137
-0.063825,-7.15630579,8.45710945,-27.7393188
-0.053825,-6.76715612,8.11889172,-24.0183868
-0.043625,-7.28642035,9.47196198,-24.6947594
-0.033625,-7.15504265,9.81016731,-26.0476856
-0.023434,-7.15504265,9.47188568,-26.0476856
-0.013434,-7.28642035,9.13367844,-26.0478973
-0.003235,-7.54664946,8.79539394,-26.3861809
0.006765,-6.76357412,8.79524994,-26.047472
0.016965,-7.15630579,8.45710945,-26.0478973
0.026965,-7.4178443,9.13375282,-24.6949615
0.037161,-7.15630579,8.79539394,-24.3564758
0.047161,-7.15504265,9.47188568,-24.3562775
0.057361,-6.89729404,9.47204018,-23.6800995
0.067361,-7.28642035,8.11882496,-23.3416214
0.077561,-7.02495098,9.81016731,-25.0328407
0.087561,-6.8960762,9.47196198,-24.6947594
0.097751,-7.28513432,8.11875916,-23.0031509
0.107751,-7.02495098,9.13360405,-24.3562775
0.117945,-7.02743149,8.45717907,-22.326952
0.127945,-7.02619123,9.13367844,-23.0033379
0.138142,-6.76476765,8.79532242,-24.3562775
0.148142,-6.24550295,8.79539394,-22.6650524
0.158341,-6.76596165,8.45710945,-24.0181904
0.168341,-6.76596165,9.81024647,-23.0033379
0.178535,-6.24440098,8.79532242,-24.0179958
0.188535,-7.02495098,9.47188568,-23.0031509
0.198732,-6.37674332,8.79546547,-21.9886646
0.208732,-6.63701868,9.81032753,-25.0332489
0.218931,-6.76715612,9.13375282,-24.6949615
