time,dynamic_pressure,airspeed,airspeed_calibrated
3.532502,-68798.9062,354.238159,320.128795447812+0i
3.556816,-68518.4766,353.100281,319.805993274521+0i
3.580502,-67938.2812,352.573059,318.679232436908+0i
3.604672,-67677.1953,351.17807,318.203765519746+0i
3.628502,-67106.6719,350.684723,317.16293086522+0i
3.652502,-66623.1797,349.29364,316.269467266821+0i
3.67681,-66188.0312,348.214539,315.450729907349+0i
3.700499,-65878.5938,347.254578,314.929621099252+0i
3.724663,-65346.75,346.529327,313.993443043275+0i
3.748502,-65163.0156,345.223999,313.700391137689+0i
3.772502,-64563.4844,344.988678,312.590854386835+0i
3.796867,-64331.4141,343.489716,312.224122900407+0i
3.820505,-63780.2227,343.049103,311.16589738875+0i
3.844675,-63606.168,341.576324,310.859203665752+0i
3.868502,-63354.7461,341.358429,310.479043216273+0i
3.892502,-63054.9844,340.853455,309.946970953411+0i
3.916813,-61942.9375,340.131775,307.655862580704+0i
3.940502,-61749.543,337.2742,307.342274176384+0i
3.964675,-61275.7227,336.833069,306.430631242595+0i
3.988505,-61024.3008,335.697968,306.019975700867+0i
4.012505,-60898.5977,335.101562,305.789834278545+0i
4.036608,-60695.5312,334.921448,305.473969538986+0i
4.060505,-60037.9766,334.508453,304.159224969797+0i
4.084682,-59535.1406,332.789185,303.127877838895+0i
4.108505,-59196.6953,331.476868,302.479472633117+0i
4.132505,-59012.9609,330.76532,302.200316900628+0i
4.156514,-58703.5273,330.319672,301.583330872191+0i
4.180508,-58674.5234,329.612854,301.607701851106+0i
4.204678,-58645.5078,329.531403,301.726696747675+0i
4.228505,-58471.4531,329.668793,301.364032280835+0i
4.252505,-58094.3281,329.337769,300.579136283226+0i
4.276864,-57707.5273,328.352173,299.804558029473+0i
4.300505,-57591.4922,327.399902,299.647992918483+0i
4.324678,-57427.1016,327.137299,299.338840533883+0i
4.348505,-56982.293,326.806488,298.448555978353+0i
4.372505,-56759.8789,325.61554,298.00223222706+0i
4.396919,-56402.0938,325.118805,297.260477861934+0i
4.420505,-56141.0039,324.263031,296.771562850188+0i
4.444669,-55918.5938,323.592163,296.392742755675+0i
4.468508,-55628.4961,323.037872,295.809897865004+0i
4.492508,-55309.3906,322.398346,295.132732728325+0i
4.516867,-55019.2969,321.546875,294.556770201473+0i
4.540511,-54709.8633,320.845215,293.91797636447+0i
4.5647,-54313.3906,319.941711,293.077855611492+0i
4.588508,-54061.9766,318.988251,292.593130298586+0i
4.612508,-53800.8906,318.394745,292.05475464179+0i
4.63691,-53588.1523,317.709961,291.685057433643+0i
4.660505,-53201.3555,317.219238,290.856445762794+0i
4.684755,-53027.3008,316.156097,290.556835476174+0i
4.708508,-52737.207,315.79068,289.931214597317+0i
4.732508,-52408.4297,314.992645,289.225055125111+0i
4.756822,-52205.3555,314.143585,288.806897495966+0i
4.780508,-51973.2773,313.656769,288.305994550948+0i
4.804669,-51673.5078,313.030884,287.684612769386+0i
4.828508,-51354.4023,312.198517,287.024448511139+0i
4.852508,-51112.6602,311.422577,286.461141644088+0i
4.876867,-50812.8906,310.751099,285.826324511182+0i
4.900514,-50609.8242,309.976715,285.433516455857+0i
4.924709,-50310.0547,309.356689,284.788656646356+0i
4.948511,-50116.6602,308.648315,284.358423020294+0i
4.972511,-49816.8945,308.191193,283.775954123458+0i
4.996822,-49671.8438,307.329041,283.414331942133+0i
