time,pressure
21.478608,68766.8516
21.502608,68762.3047
21.526608,68762.0781
21.550608,68757.5234
21.576753,68748.2188
21.598611,68743.2188
21.622611,68756.5859
21.646611,68748.1719
21.670608,68747.75
21.696619,68738.6562
21.718611,68738.2031
21.742608,68733.6406
21.766608,68737.9531
21.790608,68729.0938
21.815263,68728.6484
21.838611,68728.625
21.862611,68719.5312
21.886611,68723.6328
21.910611,68719.2812
21.936781,68714.5234
21.958611,68705.2109
21.982614,68704.7422
22.006611,68709.2578
22.030611,68704.9453
22.056555,68686.5703
22.078611,68694.7344
22.102614,68699.6797
22.126611,68695.3906
22.150611,68695.1797
22.177037,68686.0781
22.198611,68690.1719
22.222611,68681.2969
22.246611,68685.3828
22.270611,68685.5938
22.296756,68676.5234
22.318614,68676.0703
22.342617,68680.5859
22.366614,68680.8125
22.390614,68680.8281
22.417055,68676.2812
22.438611,68671.5156
22.462614,68675.8203
22.486611,68676.0312
22.510611,68671.5078
22.536628,68671.2812
22.558614,68666.7344
22.582614,68661.9688
22.606614,68670.8047
22.630614,68671.2422
22.656759,68671.2656
22.678614,68666.7344
22.702614,68666.5078
22.726617,68666.4922
22.750614,68661.9609
22.776759,68657.1875
22.798617,68661.4922
22.822617,68661.7109
22.846617,68666.2578
22.870617,68661.9453
22.897052,68661.7344
22.918617,68652.6328
22.942617,68674.875
22.966614,68666.9141
22.990617,68661.9766
23.016899,68652.6484
23.038623,68661.2656
23.062617,68657.1562
23.086617,68656.9453
23.110617,68607
23.135302,68640.8125
23.158617,68669.7422
23.182617,68657.5781
23.206617,68652.4297
23.230617,68656.7109
23.256494,68656.9297
23.27862,68652.3906
23.30262,68661.25
23.326617,68661.6953
23.350623,68657.1719
23.377338,68652.4062
23.39862,68665.7891
23.422617,68661.9219
23.446617,68666.2656
23.47062,68661.9453
23.495287,68661.7344
23.51862,68661.7188
23.54262,68657.1797
23.56662,68670.5625
23.59062,68680.3125
23.615275,68698.9609
23.63862,68663.5781
23.66262,68670.8828
23.68662,68675.7891
23.71062,68662.4219
23.734812,68666.2891
23.758623,68671.0156
23.782623,68653.1016
23.80662,68620.4297
23.830623,68646.0234
23.856762,68620.0781
23.87862,68636.9297
23.902623,68642.3125
23.926629,68647.1172
23.950623,68642.8203
23.976759,68628.9766
23.998623,68660.0859
24.022623,68657.0938
24.046623,68666.0234
24.070632,68639.2266
24.09707,68619.7344
24.118623,68618.7578
24.142623,68591.4609
24.166623,68585.5547
24.190623,68553.4844
24.216552,68610.8984
24.238626,68609.2266
24.262626,68568.2812
24.286623,68593.4766
24.310623,68594.7344
24.336558,68603.8828
24.358623,68613.4219
24.382623,68659.3047
24.406632,68688.8281
24.430626,68694.8516
24.456826,68704.2266
24.478626,68695.6172
24.502626,68699.7266
24.526626,68690.8516
24.550623,68667.7109
24.577122,68634.7734
24.598626,68587.7188
24.622626,68603.5391
24.646626,68599.7734
24.670626,68590.5078
24.695284,68585.5078
24.718629,68598.875
24.742626,68644.9453
24.766632,68647.25
24.790635,68692.7734
24.816631,68681.4219
24.838626,68708.0938
24.862629,68718.5078
24.886629,68732.6562
24.910629,68728.8281
24.93537,68724.0938
24.958629,68714.7656
24.982629,68737.0078
25.006629,68742.6562
25.030629,68742.9375
25.054928,68733.875
25.078629,68742.5
25.102629,68756.5469
25.126638,68752.7109
25.150638,68761.6016
25.176774,68771.125
25.198629,68789.7578
25.222629,68799.7812
